"EcoPortCode","ScientificName","AUTH","FAMNAME","SYNO","COMNAME","LIFO","HABI","LISPA","PHYS","CAT","PLAT","TOPMN","TOPMX","TMIN","TMAX","ROPMN","ROPMX","RMIN","RMAX","PHOPMN","PHOPMX","PHMIN","PHMAX","LATOPMN","LATOPMX","LATMN","LATMX","ALTMX","LIOPMN","LIOPMX","LIMN","LIMX","DEP","DEPR","TEXT","TEXTR","FER","FERR","TOX","TOXR","SAL","SALR","DRA","DRAR","KTMPR","KTMP","PHOTO","CLIZ","ABITOL","ABISUS","INTRI","PROSY","GMIN","GMAX"
2965,"Albizia lucida","Benth.","Magnoliopsida:Rosidae:Fabales:Leguminosae","","","tree","erect","perennial","deciduous, single stem","forest/wood","",20,34,6,42,2000,2400,1100,5000,5.5,6.5,4.5,7.5,25,25,35,35,700,"clear skies","cloudy skies","very bright","light shade","deep (>>150 cm)","medium (50-150 cm)","medium","heavy, medium, light","moderate","moderate","","","low (<4 dS/m)","low (<4 dS/m)","poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",NA,NA,"short day (<12 hours)","tropical wet & dry (Aw), tropical wet (Ar)","","","","",240,330
2966,"Albizia odoratissima","(L. f.) Benth.","Magnoliopsida:Rosidae:Fabales:Leguminosae","Acacia odoratissima (L. f.) Willd., Albizia odoratissima var. mollis Benth. ex Bak., Mimosa odoratissima L. f.","fragrant albizia, Ceylon rosewood, favas de Lazaro","tree","erect","perennial","deciduous, single stem","forest/wood","",24,37,5,48,1000,1500,600,3000,5.5,6.5,4.5,7.5,20,20,35,35,1700,"very bright","cloudy skies","very bright","light shade","deep (>>150 cm)","medium (50-150 cm)","heavy, medium, light","heavy, medium, light","moderate","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)",-1,-1,"short day (<12 hours)","tropical wet & dry (Aw), tropical wet (Ar)","","","","",210,240
2967,"Albizia pullenii","Verdc.","Magnoliopsida:Rosidae:Fabales:Leguminosae","","","tree","erect","perennial","single stem","forest/wood","",24,30,20,34,2500,3000,2000,4000,5.5,6.5,4.5,7.5,NA,NA,15,15,150,"very bright","very bright","very bright","clear skies","deep (>>150 cm)","shallow (20-50 cm)","heavy, medium, light","heavy, medium, light","high","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)",NA,NA,"short day (<12 hours)","tropical wet & dry (Aw), tropical wet (Ar)","","","","",270,365
2968,"Albizia toona","Bailey","Magnoliopsida:Rosidae:Fabales:Leguminosae","","red siris tree, Mackay cedar, acacia siras vermelha","shrub, tree","erect","perennial","deciduous, single stem, multi stem","ornamentals/turf, forest/wood, environmental","grown on small scale",22,32,12,37,1000,1750,800,2000,5.5,6.5,5,7,10,10,22,22,800,"very bright","clear skies","very bright","cloudy skies","deep (>>150 cm)","medium (50-150 cm)","light","medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)",-2,-1,"short day (<12 hours)","tropical wet & dry (Aw), subtropical humid (Cf)","","","","",210,300
2972,"Alchemilla vulgaris","L.","Magnoliopsida:Rosidae:Rosales:Rosaceae","Alchirnilla vulgaris Clus.","lady's mantle","herb","erect","perennial","","medicinals & aromatic","grown on small scale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,"","temperate oceanic (Do)","","","","",0,0
2979,"Alkanna tinctoria","(L.) Tausch.","Boraginaceae","Anchusa tinctoria","Alkanet","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,"","","","","","",0,0
2984,"Alliaria petiolata","(M. Bieb.) Carara & Grande","Magnoliopsida:Dilleniidae:Capparales:Cruciferae","Alliaria officinalis Andrz. ex Bieb., Erysirnurn alliaria L., Sisymbrium alliaria Scop.","garlic mustard, jack by the hedge","herb","erect","annual","","medicinals & aromatic","harvested from wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"light shade","cloudy skies","heavy shade","clear skies","","","heavy, medium","heavy, medium","high","moderate","","","","","","",NA,NA,"","temperate oceanic (Do)","","","","",0,0
2992,"Allium cepa x A. fistulosum","","Liliopsida:Liliidae:Asparagales:Alliaceae","","onion, cong","herb","erect","biennial","","vegetables","grown on large scale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,"","","","","","",0,0
2994,"Allium chinense","G. Don","Liliopsida:Liliidae:Asparagales:Alliaceae","","rakkyo, perennial Chinese onio, tsyu-tsai, chiao t'ou, alho chines","herb","erect","annual, biennial","multi stem","vegetables, medicinals & aromatic","grown on large scale",15,26,8,35,1500,2500,650,4100,5.5,6.5,4.3,7.2,30,10,40,50,500,"very bright","clear skies","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","light","medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)",NA,NA,"long day (>14 hours)","tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)","","","","",45,60
3010,"Allium ursinum","L.","Liliopsida:Liliidae:Asparagales:Alliaceae","","wood garlic, ramsons, bear's garlic, gypsy onion, alho dos bosques","herb","erect","perennial","","medicinals & aromatic","harvested from wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"light shade","cloudy skies","heavy shade","clear skies","","","","","","","","","","","poorly (saturated >50% of year)","poorly (saturated >50% of year), well (dry spells)",NA,NA,"","","","","","",0,0
3020,"Alnus acuminata","O. Kuntze","Magnoliopsida:Hamamelidae:Fagales:Betulaceae","Alnus acutissima Callier, Alnus castanaefolia Mirb., Alnus ferruginea H.B.& K., Alnus jorullensis Kunth var. acuminata (Kunth) Kuntze, Alnus jorullensis Kunth var. ferruginea (Kunth) Kuntze, Alnus jorullensis Kunth var. mirbellii (Spach) H.J. Winkler, Alnus lanceolata Phil., Alnus lindeni Regel, Alnus mirbellii Spach., Alnus spachii Callier","aile, aliso, ilite, jaul, lambràn, ramràm","shrub, tree","erect","perennial","evergreen, single stem","forest/wood, environmental","",15,28,4,34,1500,2500,1000,3500,5.5,6.5,4.5,7,NA,NA,18,30,3800,"very bright","clear skies","very bright","cloudy skies","deep (>>150 cm)","shallow (20-50 cm)","medium, organic","heavy, medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)",-1,-1,"short day (<12 hours)","tropical wet & dry (Aw), tropical wet (Ar), subtropical dry summer (Cs)","","","","",180,270
3021,"Alnus glutinosa","(L.) Gaertner","Magnoliopsida:Hamamelidae:Fagales:Betulaceae","Betula alnus L., Betula glutinosa Vill.","European alder, common alder, black alder, irish fearnog, owle, ontano, ontano nero, aune, aulne, amieiro vulgar, amieiro negro, aliso, aliso negro, Erle","tree","erect","perennial","","materials, medicinals & aromatic, forest/wood","harvested from wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","heavy, medium, organic","wide, organic","","","","","","","poorly (saturated >50% of year)","poorly (saturated >50% of year), well (dry spells)",NA,NA,"","subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc)","","","","",0,0
3023,"Alnus japonica","(Thunb.) St.","Magnoliopsida:Hamamelidae:Fagales:Betulaceae","","Japanese alder, aune du Japon, amieiro do Japao","tree","erect","perennial","single stem","environmental","",18,32,4,36,1500,2000,1250,2500,5,6.5,4.5,7.5,20,20,40,40,1500,"very bright","cloudy skies","very bright","light shade","deep (>>150 cm)","shallow (20-50 cm)","medium","heavy, medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","poorly (saturated >50% of year), well (dry spells)",NA,NA,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf)","","","","",180,240
3024,"Alnus nepalensis","D. Don","Magnoliopsida:Hamamelidae:Fagales:Betulaceae","","Nepalese alder, aune du Nepal, amieiro do Nepal","tree","erect","perennial","deciduous","materials, forest/wood, environmental","",15,28,4,36,1000,2000,500,2500,5.5,7,5,8,15,15,28,35,3000,"very bright","cloudy skies","very bright","light shade","deep (>>150 cm)","medium (50-150 cm)","medium","light, wide","moderate","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","poorly (saturated >50% of year), well (dry spells)",-1,-1,"short day (<12 hours)","tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical humid (Cf), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)","","wind","","",180,240
3025,"Alnus rubra","Bong.","Magnoliopsida:Hamamelidae:Fagales:Betulaceae","","red alder, aune rouge, amieiro vermelho","shrub, tree","erect","perennial","deciduous, single stem, multi stem","ornamentals/turf, forest/wood, environmental, weed","grown on small scale",17,32,4,45,1000,2000,600,3000,5.5,7,5,8,30,30,60,60,1000,"very bright","very bright","very bright","clear skies","deep (>>150 cm)","medium (50-150 cm)","medium","heavy, medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","poorly (saturated >50% of year), well (dry spells)",-30,-5,"long day (>14 hours)","subtropical dry summer (Cs), temperate oceanic (Do)","flooding","","can become a weed","",180,300
3031,"Aloe arborescens","Miller","Liliopsida:Liliidae:Asparagales:Asphodelaceae","Aloe mutabilis Pillans, Aloe arborescens var. frutescens (Salm Dyck) Link","candelabra aloe, octopus plant, torch plant, krantz aloe, kraansaalwyn, inkalane, vlambos, dokgopha","shrub, tree","erect","perennial","single stem, multi stem","ornamentals/turf, medicinals & aromatic, environmental","",18,26,9,38,400,1500,300,1700,5,6.5,4.2,7,22,20,30,32,2000,"clear skies","very bright","light shade","very bright","medium (50-150 cm)","shallow (20-50 cm)","medium, light","medium, light","moderate","low","","","low (<4 dS/m)","medium (4-10 dS/m)","well (dry spells)","well (dry spells)",-1,-1,"","steppe or semiarid (Bs), subtropical humid (Cf)","","","","home garden",0,0
3032,"Aloe barbadensis","Miller","Liliopsida:Liliidae:Asparagales:Asphodelaceae","","","herb","acaulescent (or rosette plants)","perennial","evergreen, single stem","ornamentals/turf, medicinals & aromatic","grown on small scale",19,27,10,35,1900,3000,700,4000,6.5,7.5,6,8,NA,NA,NA,NA,NA,"very bright","very bright","very bright","clear skies","medium (50-150 cm)","medium (50-150 cm)","medium","heavy, medium, light","moderate","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)",NA,NA,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","","","","",180,365
3036,"Aloe ferox","Miller","Liliopsida:Liliidae:Asparagales:Asphodelaceae","","aloe, bitter aloe, bitteraalwyn, kaapse aalwyn, umhlaba, iNhlaba, iKhala","herb","erect, acaulescent (or rosette plants)","perennial","","medicinals & aromatic","grown on small scale",18,26,10,30,500,600,300,800,6.5,7,6,7.5,20,20,40,40,2000,"very bright","clear skies","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","light","medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)",-2,0,"short day (<12 hours)","steppe or semiarid (Bs), subtropical dry summer (Cs)","","","","small scale (manual)",120,150
3039,"Aloe perryi","Baker","Liliopsida:Liliidae:Asparagales:Asphodelaceae","","","herb","erect","perennial","evergreen","medicinals & aromatic","",22,27,12,31,400,700,250,1400,6.5,7,6,7.5,NA,NA,NA,NA,NA,"very bright","clear skies","very bright","cloudy skies","medium (50-150 cm)","medium (50-150 cm)","light","light","low","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",5,0,"short day (<12 hours)","steppe or semiarid (Bs), subtropical dry summer (Cs)","","","","",120,180
3044,"Alopecurus arundinaceus","Poiret","Liliopsida:Commelinidae:Cyperales:Gramineae","","","herb","","perennial","multi stem","forage/pasture","",9,18,2,15,500,800,350,1160,6,6.5,5.5,7.5,NA,NA,NA,NA,3000,"very bright","cloudy skies","very bright","light shade","medium (50-150 cm)","shallow (20-50 cm)","medium","heavy, medium, light","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","poorly (saturated >50% of year), well (dry spells)",-15,-1,"long day (>14 hours)","steppe or semiarid (Bs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)","flooding","","","",90,180
3045,"Alopecurus geniculatus","","","","","herb","prostrate/procumbent/semi-erect","annual, perennial","multi stem","forage/pasture","",10,15,6,22,600,1000,500,1140,4.5,7,4,7.5,37,35,53,65,1000,"clear skies","very bright","cloudy skies","very bright","shallow (20-50 cm)","shallow (20-50 cm)","heavy, organic","heavy, medium, light, wide, organic","high","moderate","","","","","poorly (saturated >50% of year)","poorly (saturated >50% of year), well (dry spells)",-41,-1,"","temperate oceanic (Do), temperate continental (Dc)","flooding","drought","","",100,120
3046,"Alopecurus pratensis","L.","Liliopsida:Commelinidae:Cyperales:Gramineae","","","grass","prostrate/procumbent/semi-erect","perennial","multi stem","forage/pasture","",9,22,2,32,600,1000,200,1800,5,7.5,4.5,8.5,28,28,60,60,1200,"very bright","clear skies","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","medium","heavy, medium","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",-20,-5,"long day (>14 hours)","desert or arid (Bw), steppe or semiarid (Bs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)","","","","",90,180
3048,"Aloysia triphylla","(L'Her.) Britton","Magnoliopsida:Asteridae:Lamiales:Verbenaceae","Lippia citriodora, Verbena triphylla","Lemon Verbena","shrub","erect","perennial","deciduous, single stem, multi stem","materials, ornamentals/turf, medicinals & aromatic","",18,28,14,33,600,1800,500,2000,5.5,7,5,7.5,20,10,40,48,2000,"clear skies","very bright","light shade","very bright","medium (50-150 cm)","shallow (20-50 cm)","medium","heavy, medium","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)",-12,0,"","tropical wet & dry (Aw), subtropical dry summer (Cs), temperate oceanic (Do)","","","","",365,365
3052,"Alpinia galanga","(L.) Willd.","Liliopsida:Zingiberidae:Zingiberales:Zingiberaceae","Languas galanga Stuntz.","galangal, Java galangal, kholanjan, katauk karohini, kha, kha luang, kha ta daeng, kha yuak, kalijan, khulanjan, lenguas, hâu khá, rièng, rièng ãm, rièng nép, seh ae khoei, sa-e choei","herb","prostrate/procumbent/semi-erect","perennial","","vegetables, medicinals & aromatic","grown on small scale",27,32,20,36,2500,3000,2000,3700,5.5,6.5,5,6.8,NA,NA,20,20,1200,"clear skies","light shade","very bright","light shade","medium (50-150 cm)","shallow (20-50 cm)","heavy, medium, light","heavy, medium, light","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)",NA,NA,"short day (<12 hours)","tropical wet & dry (Aw), tropical wet (Ar)","","","","",90,365
3054,"Alpinia officinarum","Hance","Liliopsida:Zingiberidae:Zingiberales:Zingiberaceae","","","herb","prostrate/procumbent/semi-erect","perennial","","medicinals & aromatic","grown on large scale",19,27,15,36,1500,3000,1100,4000,4.5,5.5,4,6,20,20,30,30,NA,"clear skies","light shade","very bright","light shade","medium (50-150 cm)","shallow (20-50 cm)","heavy, medium, light","heavy, medium, light","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)",NA,NA,"short day (<12 hours)","tropical wet & dry (Aw), tropical wet (Ar)","","","","",90,365
3066,"Althaea officinalis","L.","Magnoliopsida:Dilleniidae:Malvales:Malvaceae","","marshmallow, guimauve, althee officinale, Eibisch, Radix Althaeae, Folia Althaeae, Althaeae radix, Althaeae herba, Althaeae folium, Althaeae flos","herb","erect","perennial","","medicinals & aromatic","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","heavy, medium, organic","wide, organic","high","moderate","","","","","poorly (saturated >50% of year)","poorly (saturated >50% of year), well (dry spells)",NA,NA,"","temperate oceanic (Do), temperate continental (Dc)","","","","",0,0
3067,"Altingia excelsa","Noronha","Magnoliopsida:Hamamelidae:Hamamelidales:Hamamelidaceae","Altingia siamensis Craib","","tree","erect","perennial","evergreen, single stem","forest/wood","",20,32,10,40,2000,3000,1200,4000,5,6,4.5,6.5,NA,NA,30,30,1700,"very bright","clear skies","very bright","cloudy skies","deep (>>150 cm)","medium (50-150 cm)","heavy, medium","heavy, medium","high","","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)",NA,NA,"short day (<12 hours)","tropical wet (Ar)","","","","",330,365
3069,"Alysicarpus rugosus","","","","","herb","erect, prostrate/procumbent/semi-erect","annual, perennial","multi stem","forage/pasture","grown on large scale",22,30,18,36,900,1400,600,1500,6,7,5.5,8,5,NA,30,35,1400,"clear skies","very bright","cloudy skies","very bright","shallow (20-50 cm)","shallow (20-50 cm)","heavy, medium","heavy, medium","high","moderate","","","","","well (dry spells)","well (dry spells)",NA,NA,"short day (<12 hours)","tropical wet & dry (Aw), subtropical humid (Cf)","","fire, grazing/browsing","can become a weed","large scale/commercial",0,0
3070,"Alysicarpus vaginalis","(L.) DC","Magnoliopsida:Rosidae:Fabales:Leguminosae","","","herb","erect","annual, perennial","multi stem","forage/pasture, cover crop, environmental","grown on small scale",22,30,15,35,1000,2000,700,4300,5.5,6.5,4.5,8.5,NA,NA,15,15,1400,"clear skies","clear skies","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","medium, light","heavy, medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)",-5,-1,"short day (<12 hours)","tropical wet & dry (Aw), tropical wet (Ar)","","","susceptible to nematodes, can become a weed","large scale/commercial",120,300
3086,"Amaranthus hybridus","L.","Magnoliopsida:Caryophyllidae:Caryophyllales:Amaranthaceae","Amaranthus cruentus L., Amaranthus paniculatus L.","smooth pigweed, slender amaranth, quintonil (Mex), umfino, gewone misbridie, xian, phak khom, bayam, tete (Nir), urai (Phil)","herb","erect","annual","","vegetables","grown on small scale",12,30,8,35,400,600,300,700,6.5,7.5,6,8.5,NA,NA,30,35,1300,"very bright","very bright","clear skies","very bright","medium (50-150 cm)","shallow (20-50 cm)","medium","wide","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)",4,0,"long day (>14 hours)","tropical wet & dry (Aw), steppe or semiarid (Bs)","","flooding","","small scale (manual)",30,60
3090,"Amaranthus hypochondriacus","L.","Magnoliopsida:Caryophyllidae:Caryophyllales:Amaranthaceae","","prince's feather","herb","erect","annual","C4 photosynthesis","cereals & pseudocereals, vegetables","grown on large scale",19,23,10,32,1000,1600,500,2500,6,7,5.5,7.5,10,10,30,30,NA,"clear skies","clear skies","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","heavy, medium, light, organic","heavy, medium, light","high","moderate","","","low (<4 dS/m)","medium (4-10 dS/m)","well (dry spells)","well (dry spells)",4,0,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","","","","",30,300
3116,"Aronia alnifolia","Nutt.","Cycadopsida","Amelanchier alnifolia (Nutt.) Nutt.","saskatoon, saskatoon serviceberry, juneberry, mountain juneberry, Rocky Mountain blueberry, sgan gam (Gitxsan), hlighag' (Wet'suwet')","shrub, tree","erect","perennial","deciduous, single stem, multi stem, C3 photosynthesis","fruits & nuts, ornamentals/turf, medicinals & aromatic, environmental","",15,20,5,25,650,1100,340,1270,5.5,7,5,7.5,37,35,60,67,1500,"cloudy skies","very bright","light shade","very bright","deep (>>150 cm)","medium (50-150 cm)","medium, light","heavy, medium, light","high","moderate","","","","","well (dry spells)","well (dry spells), excessive (dry/moderately dry)",-50,0,"","steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do), boreal (E)","fire","","","",0,0
3127,"Ammandra natalia","","Liliopsida:Arecidae:Arecales:Palmae","","","tree","erect","perennial","evergreen","fruits & nuts, materials, environmental","",21,26,17,30,2500,4500,1600,6300,5.5,6.5,4.5,7,NA,NA,10,10,1000,"very bright","clear skies","very bright","light shade","medium (50-150 cm)","shallow (20-50 cm)","heavy, medium","heavy, medium","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","poorly (saturated >50% of year), well (dry spells)",8,0,"short day (<12 hours)","tropical wet & dry (Aw), tropical wet (Ar)","","","","",365,365
3131,"Ammophila arenaria","(L.) Link","Liliopsida:Commelinidae:Cyperales:Gramineae","","","grass","prostrate/procumbent/semi-erect","perennial","multi stem","forage/pasture, environmental","",9,20,2,25,700,900,500,1200,5,6,4.5,6.5,35,35,60,60,NA,"very bright","clear skies","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","light","light","moderate","low","","","low (<4 dS/m)","medium (4-10 dS/m)","excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",-5,-1,"long day (>14 hours)","subtropical dry summer (Cs), temperate oceanic (Do)","","","","",90,180
3132,"Ammophila breviligulata","Fern.","Liliopsida:Commelinidae:Cyperales:Gramineae","","","grass","prostrate/procumbent/semi-erect","perennial","multi stem","environmental","",9,18,2,25,800,1000,600,1200,5,6,4.5,6.5,40,40,60,60,NA,"very bright","clear skies","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","light","light","moderate","low","","","low (<4 dS/m)","medium (4-10 dS/m)","excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",-10,-1,"long day (>14 hours)","temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)","","","","",120,150
3187,"Anagallis arvensis","L.","Magnoliopsida:Dilleniidae:Primulales:Primulaceae","","scarlet pimpernel, shepherd's weatherglass, pimpernel, bird's eye, blouselblommetjie","herb","prostrate/procumbent/semi-erect","annual","","medicinals & aromatic","grown on small scale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","light","medium, light","","","","","","","","",NA,NA,"","temperate oceanic (Do), temperate continental (Dc)","","","","",0,0
3202,"Andropogon gayanus","Kunth","Liliopsida:Commelinidae:Cyperales:Gramineae","","gamba grass, kreb (Tchad)","grass","erect","perennial","multi stem","forage/pasture, materials, environmental","grown on large scale",22,28,16,32,750,1400,400,3000,4.5,6.5,4,7.5,NA,NA,15,25,2000,"very bright","clear skies","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","medium","heavy, medium, light","moderate","low","none (<5% of CEC)","high (<5% of CEC)","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",NA,NA,"short day (<12 hours)","tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical dry summer (Cs)","fire, drought","","can become a weed","large scale/commercial",150,270
3203,"Andropogon gerardii var. gerardii","Vitman","Liliopsida:Commelinidae:Cyperales:Gramineae","","","grass","erect","perennial","multi stem","forage/pasture","",10,20,3,28,700,1200,350,2800,5.5,6.5,4.5,7.6,35,35,60,60,NA,"very bright","very bright","very bright","clear skies","medium (50-150 cm)","shallow (20-50 cm)","medium","medium","moderate","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)",-15,-5,"long day (>14 hours)","steppe or semiarid (Bs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)","","","","",120,300
3204,"Andropogon hallii","Hackel","Liliopsida:Commelinidae:Cyperales:Gramineae","","sand bluestem, anadelfia da areia","grass","prostrate/procumbent/semi-erect","perennial","multi stem","environmental","",10,20,4,30,700,900,500,1100,6,7,5,7.5,30,30,55,55,NA,"very bright","very bright","very bright","clear skies","medium (50-150 cm)","shallow (20-50 cm)","light","light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",-15,-5,"long day (>14 hours)","temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)","","","","",180,330
3217,"Anemone nemorosa","L.","Magnoliopsida:Magnoliidae:Ranunculales:Ranunculaceae","Ranunculus sylvarum Clus.","wood anemone, European wood anemone, European thimbleweed, moonflower, windflower, anemona dos bosques","herb","prostrate/procumbent/semi-erect","perennial","","medicinals & aromatic","harvested from wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"light shade","cloudy skies","heavy shade","cloudy skies","","","","","","","","","","","","",NA,NA,"","temperate oceanic (Do)","","","","",0,0
3218,"Angelica archangelica","L.","Magnoliopsida:Rosidae:Apiales:Umbelliferae","Angelica officinalis Hoff.","angelica, garden angelica, archangel, aunt Jericho, plante angelique, Angelikapflanze, European angelica, arcangelica, raiz do Espirito Santo, Angelicae radix, Angelicae folium, Angelicae fructus, Aetheroleum angelicae","herb","erect","biennial, perennial","","medicinals & aromatic","grown on small scale",5,19,2,22,700,1100,500,1300,5.5,6.5,4.5,7.3,60,50,70,75,1700,"very bright","clear skies","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","medium, organic","heavy, medium, light","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","poorly (saturated >50% of year), well (dry spells)",-10,0,"long day (>14 hours)","steppe or semiarid (Bs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)","","","","",120,180
3220,"Angelica sylvestris","L.","Magnoliopsida:Rosidae:Apiales:Umbelliferae","Imperatoria sylvestris Lam., Selinum sylvestre Crantz","wild angelica, woodland angelica, angelica silvestre, angelica brava","herb","erect","biennial, perennial","","medicinals & aromatic","harvested from wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,"","temperate oceanic (Do), temperate continental (Dc)","","","","",0,0
3221,"Angophora costata","(Gaertn.)","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","","tree","erect","perennial","evergreen, single stem","ornamentals/turf, forest/wood","",18,28,10,38,800,1000,600,1200,5.5,6.5,5,7,21,21,37,37,300,"very bright","very bright","very bright","clear skies","deep (>>150 cm)","shallow (20-50 cm)","light","medium, light","moderate","","","","low (<4 dS/m)","medium (4-10 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)",-5,0,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","subtropical humid (Cf)","","","","",120,240
